001,El Principito,Antoine de Saint,1943,4
002,1984,George Orwell,1949,5
003,Don Quijote de la Mancha,Miguel de Cervantes,1605,3
004,Cien anos de soledad,Gabriel Garcia Marquez,1967,4
005,Orgullo y prejuicio,Jane Austen,1813,6
006,El gran Gatsby,F. Scott Fitzgerald,1925,3
007,Matar a un ruisenor,Harper Lee,1960,5
008,El Senor de los Anillos: La Comunidad del Anillo,J.R.R. Tolkien,1954,8
009,Harry Potter y la piedra filosofal,J.K. Rowling,1997,12
010,Un mundo feliz,Aldous Huxley,1932,4
011,Crimen y castigo,Fiodor Dostoievski,1866,3
012,El guardian entre el centeno,J.D. Salinger,1951,4
013,Crónica de una muerte anunciada,Gabriel Garcia Marquez,1981,5
014,Fahrenheit 451,Ray Bradbury,1953,6
015,El Hobbit,J.R.R. Tolkien,1937,7
016,La sombra del viento,Carlos Ruiz Zafon,2001,5
017,Pedro Paramo,Juan Rulfo,1955,3
018,Rayuela,Julio Cortazar,1963,4
019,El amor en los tiempos del colera,Gabriel Garcia Marquez,1985,5
020,Metamorfosis,Franz Kafka,1915,4
021,El Alquimista,Paulo Coelho,1988,10
022,El codigo Da Vinci,Dan Brown,2003,8
023,Los miserables,Victor Hugo,1862,3
024,El resplandor,Stephen King,1977,6
025,It,Stephen King,1986,5
026,Rebelion en la granja,George Orwell,1945,6
027,El retrato de Dorian Gray,Oscar Wilde,1890,5
028,Dune,Frank Herbert,1965,7
029,Fundacion,Isaac Asimov,1951,5
030,Dracula,Bram Stoker,1897,4
